"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Brasil,45573754,44007,45371768,43162,48117461,43959,52110698,46780,56662542,47338,57964209,45332,56069983,44406,55887379,44045,59032241,45597,59431710,42282,59059599,41999,61841033,43879,63030377,40120,66406024,39393,70398423,40383,71028134,44742,71432966,49925,73644898,54368,73274337,53002,75898382,57536,77965057,59790
Norte,2053739,428,1822772,413,1792936,403,1985383,383,2238944,334,2490352,371,2316497,382,2228252,367,2252466,257,2188574,276,2220921,493,2379188,734,2371338,527,2498636,533,2763921,546,3005626,609,3089919,658,3339139,721,3346896,617,3575863,714,3924343,924
Nordeste,9199680,17068,8776979,15605,9426299,17493,9706247,19745,10220043,20884,10177580,20000,10283136,19381,10290269,19145,10672364,21044,10628046,20868,9919970,19527,10758984,19808,9476030,16717,9004806,15839,10176533,16599,9948343,17699,9194840,19192,9530156,23055,9568293,23116,9373102,27705,9458502,28286
Sudeste,8032490,5736,8074585,6353,8254140,6002,8847050,5697,9472986,6106,9697741,5982,9742345,5635,9594757,5382,10506555,5871,10704930,5389,10810751,5454,11056385,6498,11291412,6028,11680217,6867,12086127,7079,12194660,9665,12376534,12384,12440093,11859,12229935,12259,12726924,13017,12864432,15054
Sul,16343408,20460,16598003,20448,17368152,19748,18742013,20676,19427977,19757,19092703,18726,18551722,18768,18705375,18891,19215027,18284,19439877,15629,18894574,16362,19250544,16594,19438921,16560,20444222,15835,21004873,15723,20806356,16177,20866392,17007,20931386,17635,20706338,16349,21045368,15554,21550516,15056
Centro-Oeste,9944437,315,10099429,343,11275934,313,12830005,279,15302592,257,16505833,253,15176284,240,15068726,260,16385829,141,16470283,120,17213383,163,18395932,245,20452676,288,22778143,319,24366969,436,25073149,592,25905281,684,27404124,1098,27422875,661,29177125,546,30167264,470
Rondônia,343489,-,283728,-,245980,-,291655,-,351157,-,386252,-,393201,-,383553,-,408939,-,436766,-,455482,-,546051,-,476280,-,447793,-,465183,-,505753,-,512621,-,585246,-,571287,-,657037,-,721910,-
Acre,93973,9,91952,9,97794,5,97091,6,115864,10,117634,11,111638,10,107877,11,98425,28,84700,26,114815,49,121043,76,135180,100,118489,118,110554,126,103290,119,94552,109,87101,104,72431,93,69230,88,69521,88
Amazonas,150327,316,147991,314,151422,314,138451,362,129033,309,164876,315,162948,342,144985,326,139022,198,140167,204,135465,399,146031,608,145647,377,135550,371,113173,351,100318,417,101189,473,103168,500,96226,423,99489,350,101598,570
Roraima,37514,-,29994,-,38557,-,46744,-,59853,-,57923,-,54698,-,41908,-,46133,-,34833,-,34890,-,42135,-,43508,-,49804,14,47814,39,50600,41,52194,46,47578,87,66490,76,71665,250,84045,240
Pará,1129737,95,946898,90,891509,84,990071,15,1028444,15,1061815,45,983007,30,950688,30,894926,31,859286,46,793733,45,795974,50,818833,50,888463,30,953116,30,1015293,31,1067313,30,1198721,30,1157851,25,1230181,25,1363760,25
Amapá,8602,8,12680,-,12791,-,12107,-,13056,-,14734,-,14309,-,15656,-,18463,-,20498,-,22341,-,22076,-,20925,-,24280,-,39384,-,30878,-,34078,-,38863,-,34238,-,34800,-,36141,-
