"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Brasil,34578507,131875,41970673,135278,58109799,160871,82549769,194332,89982658,198255,75167563,209319,72968350,230768,91651075,254894,120550804,296164,114743850,270545,121380907,325036,156020452,354376,165858421,363504,196083410,412896,208920350,526084,220517911,585615,262167363,803962,260888856,769254,282953793,790776,302040271,884177,395011989,1010317
Norte,1300231,502,1436492,570,1758157,446,2678597,112,2955185,157,3047801,237,2868331,227,3288768,332,4238665,335,4322057,351,5158287,8099,6074523,10131,7091374,6634,8988223,7210,9735453,8839,9987292,11794,12214085,14128,12508172,16348,12930495,15716,13741579,14530,20404229,18198
Nordeste,5250046,29614,5179733,30509,8193433,44051,9718607,53275,11090543,62833,9890891,70368,10149546,65605,11976678,66682,16273156,100622,14707423,86180,15289537,98594,20202124,109682,19594465,113321,19817524,108388,24685678,131139,23575683,142070,21305197,190865,25796952,272680,30813106,287808,31202968,382301,45156415,462330
Sudeste,9083707,27728,11052847,29524,14961162,30079,17837545,25936,18764522,27964,18900455,28554,20558916,31930,23654410,38678,27081852,50780,28446169,49223,30968378,67804,40266224,66013,44099039,53729,46920865,86340,44816037,96974,48402251,129313,62433876,231482,60539130,142574,60014924,194978,65063154,186184,81397160,239098
Sul,11641570,72683,15737679,73338,19842359,84828,32281492,113496,31685858,106006,21868193,108883,23942298,131919,31699127,147711,42520192,143414,37531783,133922,40448026,148120,47574752,163478,44892490,180576,64009608,197838,66206740,264057,69460125,279662,83267097,341749,78998552,312753,83897255,272278,85145250,287390,102920301,276314
Centro-Oeste,7302950,1349,8563920,1337,13354693,1468,20033527,1512,25486547,1296,21460227,1277,15449253,1086,21032092,1491,30436941,1013,29736423,868,29516637,2417,41902827,5072,50181059,9244,56347195,13120,63476448,25075,69092566,22775,82947108,25738,83046050,24899,95298018,19997,106887325,13773,145133889,14377
Rondônia,134469,-,123646,-,214745,-,308309,-,366299,-,382287,-,394273,-,474814,-,656598,-,766119,-,742864,-,1000080,-,1465769,-,1269213,-,1547249,-,1544118,-,1943871,-,2155197,-,2100288,-,2406608,-,3276464,-
Acre,117138,70,93946,77,116038,25,155567,25,125292,53,155518,59,123262,50,165750,59,219331,168,170936,120,368252,272,354189,612,383109,679,502714,666,576872,848,458202,1072,471656,1080,420422,1045,369896,991,333162,920,334795,895
Amazonas,202600,67,262793,176,237693,71,218618,72,196832,89,327912,89,341447,103,338749,198,401793,86,375094,98,625907,7714,776254,9394,852134,5795,1003700,6239,1005246,5911,988107,7532,1224865,9479,1250629,9321,1148657,12390,1238995,7049,1215208,11395
Roraima,50423,-,53149,-,76221,-,108914,-,147853,-,120315,-,119827,-,114331,-,140599,-,112733,-,122658,-,153767,-,182618,-,270845,150,231299,1730,352432,2815,365383,3181,383643,5631,304903,2085,358644,6326,641743,5634
Pará,589868,361,638878,317,770939,350,1190326,15,1318736,15,1283406,90,1269564,75,1416396,75,1537835,80,1631783,134,1953437,112,2065635,125,2400635,160,3728618,155,3328005,350,3350162,365,4792779,388,4460758,351,4706423,250,4602751,235,6632246,273
Amapá,21549,4,28127,-,45652,-,28488,-,41829,-,49498,-,67137,-,94510,-,97752,-,82036,-,99534,-,114774,-,120718,-,99343,-,150070,-,141574,-,148856,-,173300,-,139475,-,140981,-,135562,-
Tocantins,184190,-,235958,-,296871,-,668373,-,758342,-,728864,-,552822,-,684224,-,1184755,-,1183355,-,1245604,-,1609827,-,1686393,-,2113789,-,2896712,-,3152697,11,3266677,-,3664229,-,4160854,-,4660438,1,8168213,1
Maranhão,518392,14,588234,9,822982,12,1227770,6,1390108,7,1311765,50,1183064,5,1323291,5,2579454,4,2104513,4,2365417,55,2786456,14,2813181,15,3463011,6,4324008,6,3793910,-,2850089,252,4108949,69,4856702,7,4877651,4,7685447,4
Piauí,199565,384,186273,295,169698,336,473520,359,546829,393,579693,280,569148,268,530299,242,1137659,347,1126187,361,878357,350,1684760,360,1720577,236,1444018,352,2403829,337,2576016,403,1617976,273,3695050,162,4412982,341,4204731,370,5967454,330
Ceará,467056,762,336643,969,633725,1411,888582,1930,740012,2398,702788,3716,1029188,3934,930265,4785,1498068,6444,949113,7167,842571,9241,1710121,11318,939588,16533,1099917,19820,1261479,26786,781416,18326,999530,35311,1290154,55063,1379383,92504,1514002,115158,2128730,132553
Rio Grande do Norte,169893,2139,145695,4067,340129,4332,464238,6387,511995,10011,444592,8843,557265,7461,487877,6982,497805,8989,625319,9051,597434,9691,760415,13917,814866,18109,849862,10204,753596,13588,745049,21250,898404,25061,991820,50142,1172466,37631,1315903,55919,1563907,81244
Paraíba,319955,9415,297436,5190,403066,9353,562493,12480,565846,18446,526460,19252,667958,18616,562882,18609,681095,24533,731899,23588,647029,24145,940850,30479,833953,18403,926751,27402,923338,27166,907830,33433,1159164,37176,940010,33472,1051864,47445,992153,39768,1248884,49200
Pernambuco,581300,4338,627706,4750,929938,6822,1002678,9012,1116175,7685,1177321,10614,1213836,9068,1288573,9295,1535922,16464,1660122,14301,1838060,14789,1965963,17492,1630583,12907,1546627,9937,1479744,12163,1655942,12687,1730184,18268,1558671,36928,1710773,31925,1779773,47191,2589865,52632
Alagoas,829435,3919,930133,5281,966310,6248,927655,4702,977378,4697,940664,8292,1012100,6538,1078078,5543,1378208,5438,1444011,6193,1383930,5414,1915051,4977,1828446,14743,1875747,5965,1855207,12263,1723720,13856,1687664,18944,1745829,41446,1505392,43247,1695040,55417,1856005,73931
Sergipe,108603,4487,105852,5447,158909,9046,271809,10293,239383,10532,223476,6428,281042,7226,341969,8306,518496,25152,507359,12977,655663,20538,594128,17552,672759,25821,815810,27552,729939,27200,686832,28512,543217,36142,857956,45315,399360,26665,914544,59493,1337973,60169
Bahia,2055848,4156,1961758,4501,3768677,6490,3899861,8105,5002819,8663,3984132,12893,3635956,12490,5433452,12915,6446452,13252,5558896,12538,6081014,14367,7844381,13573,8340511,6552,7795781,7149,10954542,11632,10704975,13602,9818969,19436,10608518,10083,14324175,8042,13909177,8980,20778150,12268
Minas Gerais,2909278,3177,3128515,3336,4312221,3819,5794185,4488,6511716,5788,6557282,6830,5752883,7194,7229428,8658,9614668,10444,9421506,11416,9938813,40320,13187513,42465,13892569,29886,15316330,31410,14672683,33414,15627439,40561,21372658,61803,18665952,50762,19507223,55082,21881700,73504,27915486,83411
Espírito Santo,182440,1564,183284,1485,271731,505,341238,1094,368485,1090,385623,1178,350566,1688,356250,2656,394619,2362,326517,2362,501392,1726,594930,129,583991,218,625665,1600,648607,3089,518682,3309,661170,6966,593750,6046,628457,7809,718783,8575,777887,11050
